,Content ID,Reaction Type,Datetime,Content Type,Category,Score,Sentiment,  Each Category,Total Scores 
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,7/4/2021,photo,public speaking,75,positive,animals,74965
142,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21/10/20 9:07,video,dogs,75,positive,science,71168
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28/8/20 3:57,photo,studying,75,negative,healthy eating,69339
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021,photo,studying,75,negative,technology,68738
178,0bedca96-fb76-4287-a83c-17330ed39cce,super love,26/6/20 10:33,photo,soccer,75,neutral,food,66676
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,22/9/20 2:08,GIF,tennis,75,positive,culture,66579
226,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,25/10/20 2:39,GIF,science,75,negative,travel,64880
251,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,29/5/21 7:21,GIF,tennis,75,negative,cooking,64756
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/8/2020,photo,healthy eating,75,positive,soccer,57783
223,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,30/6/20 13:08,GIF,science,75,neutral,education,57436
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,25/7/20 16:31,GIF,tennis,75,negative,fitness,55323
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/2/21 5:09,photo,studying,75,negative,Studying,54269
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/1/21 11:03,photo,studying,75,negative,dogs,52511
166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,5/2/2021,video,technology,75,negative,tennis,50339
248,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,3/9/2020,GIF,tennis,75,positive,veganism,49619
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,4/3/2021,photo,healthy eating,75,neutral,public speaking,49264
276,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,14/2/21 21:15,GIF,tennis,75,neutral,,
295,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,26/1/21 1:00,video,food,75,neutral,,
300,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,28/10/20 13:14,video,food,75,positive,,
317,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,28/9/20 8:49,video,food,75,positive,,
325,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,2/8/2020,video,food,75,neutral,,
328,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,11/2/2021,video,food,75,negative,,
333,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,8/6/2021,video,food,75,positive,,
335,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,5/11/2020,video,food,75,positive,,
383,a2e93b29-9259-4092-a4d7-62d5e823bb74,super love,7/10/2020,video,public speaking,75,negative,,
390,a2e93b29-9259-4092-a4d7-62d5e823bb74,super love,5/5/2021,video,public speaking,75,negative,,
415,9b3a6d30-48e8-476c-82be-9031524bd04d,super love,15/11/20 22:53,video,food,75,negative,,
418,9b3a6d30-48e8-476c-82be-9031524bd04d,super love,22/9/20 17:07,video,food,75,positive,,
446,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,super love,19/1/21 3:07,video,tennis,75,positive,,
462,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,super love,16/4/21 11:15,video,tennis,75,positive,,
482,baa2db00-81ba-4c34-b17d-dd950bfa133b,super love,30/10/20 16:05,GIF,soccer,75,negative,,
493,baa2db00-81ba-4c34-b17d-dd950bfa133b,super love,12/6/2021,GIF,soccer,75,positive,,
494,f98dde71-ce1d-4f6c-bb05-ae05779d2207,super love,2/8/2020,GIF,soccer,75,neutral,,
509,f98dde71-ce1d-4f6c-bb05-ae05779d2207,super love,25/4/21 9:44,GIF,soccer,75,positive,,
539,388bd9db-9d10-4f47-87c4-6db46e83bc95,super love,28/4/21 9:23,video,education,75,negative,,
551,78d0075f-895c-4a15-a35c-a921e2bb2cea,super love,30/4/21 9:22,photo,studying,75,positive,,
597,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,super love,27/12/20 17:21,photo,travel,75,positive,,
613,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,super love,18/12/20 6:02,photo,travel,75,negative,,
657,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,super love,31/5/21 22:21,audio,dogs,75,negative,,
729,2920dccb-e06f-49fc-8049-b6d4164dfe84,super love,7/10/2020,GIF,veganism,75,negative,,
749,2920dccb-e06f-49fc-8049-b6d4164dfe84,super love,27/8/20 23:25,GIF,veganism,75,positive,,
755,f4e3840e-bb71-40c2-afc5-9408d842646d,super love,17/4/21 18:59,photo,healthy eating,75,positive,,
762,f4e3840e-bb71-40c2-afc5-9408d842646d,super love,2/10/2020,photo,healthy eating,75,neutral,,
767,f4e3840e-bb71-40c2-afc5-9408d842646d,super love,21/6/20 13:09,photo,healthy eating,75,negative,,
774,f4e3840e-bb71-40c2-afc5-9408d842646d,super love,25/3/21 13:06,photo,healthy eating,75,negative,,
819,74718bbf-e5a3-442f-8ca2-4a3428757fc1,super love,15/2/21 9:38,video,dogs,75,negative,,
824,74718bbf-e5a3-442f-8ca2-4a3428757fc1,super love,15/2/21 23:04,video,dogs,75,positive,,
835,74718bbf-e5a3-442f-8ca2-4a3428757fc1,super love,8/11/2020,video,dogs,75,neutral,,
853,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,super love,2/9/2020,video,cooking,75,negative,,
856,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,super love,16/10/20 14:01,video,cooking,75,negative,,
884,eec5e521-4c28-4e8a-93a9-d544803fad7e,super love,30/1/21 7:11,audio,food,75,negative,,
894,eec5e521-4c28-4e8a-93a9-d544803fad7e,super love,12/8/2020,audio,food,75,negative,,
947,457301ee-3e87-40d8-8b82-ea4e1fa90e39,super love,13/3/21 21:26,GIF,healthy eating,75,positive,,
960,457301ee-3e87-40d8-8b82-ea4e1fa90e39,super love,12/11/2020,GIF,healthy eating,75,positive,,
963,457301ee-3e87-40d8-8b82-ea4e1fa90e39,super love,12/4/2021,GIF,healthy eating,75,positive,,
978,457301ee-3e87-40d8-8b82-ea4e1fa90e39,super love,24/6/20 22:06,GIF,healthy eating,75,positive,,
1014,ab4c4756-1c50-4136-bad9-3216e01ffac2,super love,23/10/20 7:06,audio,fitness,75,neutral,,
1041,4478d98e-43e8-4dc0-884d-c1115aa8b970,super love,10/10/2020,audio,animals,75,neutral,,
1048,4478d98e-43e8-4dc0-884d-c1115aa8b970,super love,25/6/20 8:02,audio,animals,75,positive,,
1069,34f73132-fff6-4f01-a5ec-4b4b66461fc7,super love,9/1/2021,photo,fitness,75,positive,,
1076,34f73132-fff6-4f01-a5ec-4b4b66461fc7,super love,4/2/2021,photo,fitness,75,negative,,
1102,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,super love,1/9/2020,photo,veganism,75,positive,,
1109,220d9dc1-f8a5-422d-b200-3819f3b89b2b,super love,11/12/2020,video,dogs,75,positive,,
1156,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,super love,16/1/21 7:35,GIF,healthy eating,75,negative,,
1208,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,super love,12/7/2020,GIF,studying,75,positive,,
